"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Solyc09g098540.3",68590.3163224451,-4.00920245531053,0.132327788374358,-22.7405180142317,1.78114553804471e-114,5.97821709338727e-112
"Solyc10g005100.3",4466.68667506214,-6.02112913416127,0.222735895015974,-22.5429724014675,1.57389768798825e-112,5.1398393956654e-110
"Solyc05g007120.3",17507.3290247172,-3.99828198498451,0.133087169213978,-22.5287080842772,2.17199046686198e-112,6.9984428829582e-110
"Solyc08g068150.3",20714.4416372057,-6.46353752009632,0.242540860150317,-22.5262560572691,2.29559123404813e-112,7.29937602131672e-110
"Solyc10g047240.2",4780.11271095759,-6.24962153239081,0.236326573939839,-22.2134203736529,2.54784618610676e-109,7.79382923208304e-107
"Solyc06g074260.3",170068.061157675,-5.67721703855429,0.213234997554338,-21.9345655835057,1.2159350096781e-106,3.58344944437574e-104
"Solyc01g080680.3",2282.84197851617,-9.79890690626982,0.40122193108099,-21.9302740569625,1.33620267062594e-106,3.8904426190779e-104
"Solyc08g081220.1",35792.6829615304,-6.60886856746513,0.255774183453249,-21.9289863102635,1.37455501339425e-106,3.95446386353399e-104
"Solyc04g071800.3",5980.04887825752,-8.7400478240822,0.35544376284446,-21.775731165296,3.94131936522385e-105,1.09478073310344e-102
"Solyc06g082420.3",1644.18148860731,-8.17956681956523,0.33049966794397,-21.7233707502012,1.2338548692042e-104,3.38833372377143e-102
"Solyc07g064180.3",19818.9349501941,-5.91473456774863,0.227054549477918,-21.6456115019471,6.68511816653017e-104,1.8151973664311e-101
"Solyc06g083590.3",6007.50571442864,-4.02078047635022,0.141144873281092,-21.4019851102512,1.28038988324408e-101,3.36325020853004e-99
"Solyc02g065240.3",3030.00802584989,-6.2124764182993,0.243813542245936,-21.3789454444718,2.09817147896094e-101,5.45208730758819e-99
"Solyc08g079430.3",5086.43442397941,-5.77312043874942,0.223868039081152,-21.3211339070119,7.22856764568466e-101,1.83879542869069e-98
